Englisch;Deutsch;Audio
The problem with packaging has caused some damage;Ein Problem beim Verpacken hat ein bisschen Schaden verursacht;The problem with packaging has caused some damage
Have you met our managin director?;Haben Sie schon unseren Geschäftsführer kennengelernt?;Have you met our managin director?
We are a leading manufacturer of printers ;Wir sind führende Hersteller von Druckern;We are a leading manufacturer of printers 
I work for a major software company;Ich arbeite für eine bedeutsame Software Firma;I work for a major software company
We are a subsidiary of a bigger company;Wir sind eine Tochtergesellschaft einer größeren Firma ;We are a subsidiary of a bigger company
We are a chain of electronics suppliers;Wir sind eine Kette von Elektronik-Anbietern;We are a chain of electronics suppliers
We offer sustainable solutions;Wir bieten nachhaltige Lösungen an;We offer sustainable solutions
Our products are environmentally friendly;Unsere Produkte sind umweltfreundlich;Our products are environmentally friendly
Our products are well-known in Europe;Unsere Produkte sind europaweit bekannt;Our products are well-known in Europe
Our components are both reliable and long-lasting;Unsere Komponenten sind zuverlässig und haben eine lange Lebensdauer;Our components are both reliable and long-lasting
Our software is adapted to suit your requirements;Unsere Software wird Ihren Befürfnissen angepasst;Our software is adapted to suit your requirements
Our products are designed using the latest technology;Unsere Produkte werden mit der neusten Technologie entworfen;Our products are designed using the latest technology
I am training to become a software developer ;Ich mache eine Ausbildung zum Software Entwickler;I am training to become a software developer 
I am currently doing a three-year apprenticeship at a vocational college in Germany;Ich mache zurzeit eine Ausbilding an einer berufsbildenden Schule in Deutschland;I am currently doing a three-year apprenticeship at a vocational college in Germany
I am in the second year of an apprenticeship;Ich bin im zweiten Jahr meiner Ausbildung;I am in the second year of an apprenticeship
After completing my apprenticeship I will be a qualified application developer;Nach dem Abschluss meiner Ausbildung bin ich ein qualifizierter Anwendungsentwickler;After completing my apprenticeship I will be a qualified application developer
